Poster,PosterParty,TweetDate,TotalTweetCount
Goedele Liekens,Open Vld,2023-11-17,1
Georges Dallemagne,Les Engagés,2024-03-10,1
Frank Troosters,VB,2024-03-31,1
Albert Vicaire,Ecolo-Groen,2023-02-02,1
Séverine de Laveleye,Ecolo-Groen,2024-01-28,1
Maggie De Block,Open Vld,2024-01-18,1
Ben Achour Malik,PS,2024-01-20,1
Steven Creyelman,VB,2023-12-14,1
Joris Vandenbroucke,Vooruit,2023-12-21,1
Simon Moutquin,Ecolo-Groen,2024-02-02,1
Nathalie Muylle,cd&v,2023-12-23,1
Patrick Prévot,PS,2024-02-23,1
Patrick Prévot,PS,2024-02-18,1
dieter van besien,Ecolo-Groen,2024-03-26,1
Michael Freilich,N-VA,2024-03-08,1
Patrick Prévot,PS,2024-01-07,1
Anja Vanrobaeys,Vooruit,2024-03-17,1
Patrick Prévot,PS,2024-01-15,1
Patrick Prévot,PS,2024-01-16,1
Catherine Fonck,Les Engagés,2024-02-04,1
Christophe Lacroix,PS,2024-03-27,1
Christophe Lacroix,PS,2024-03-16,1
Kristien Van Vaerenbergh🎗️,N-VA,2023-11-17,1
Marco Van Hees,PVDA-PTB,2023-12-27,1
Patrick Prévot,PS,2024-02-26,1
Caroline Taquin,MR,2024-04-24,1
Caroline Taquin,MR,2024-03-22,1
Cécile Cornet,Ecolo-Groen,2023-04-20,1
Chanson julie,Ecolo-Groen,2023-11-02,1
Nabil Boukili,PVDA-PTB,2024-03-12,1
Caroline Taquin,MR,2023-12-26,1
Caroline Taquin,MR,2023-12-17,1
Caroline Taquin,MR,2024-01-09,1
Samuel Cogolati,Ecolo-Groen,2024-04-12,1
Katja Gabriëls,Open Vld,2022-05-03,1
Vincent Van Quickenborne,Open Vld,2024-04-20,1
Caroline Taquin,MR,2024-04-18,1
Samuel Cogolati,Ecolo-Groen,2024-03-05,1
André Flahaut,PS,2024-03-06,1
Jean-Marc Delizée,PS,2023-11-29,1
Jean-Marc Delizée,PS,2023-12-02,1
Hendrik Bogaert,cd&v,2023-12-05,1
Jean-Marc Delizée,PS,2023-12-07,1
Jean-Marc Delizée,PS,2024-02-01,1
Tom Van Grieken (BACKUP PROFIEL),VB,2021-04-17,1
Claire Hugon,Ecolo-Groen,2024-01-21,1
Ortwin Depoortere,VB,2024-03-28,1
Claire Hugon,Ecolo-Groen,2023-11-23,1
Claire Hugon,Ecolo-Groen,2023-12-16,1
Ortwin Depoortere,VB,2024-02-27,1
Reccino Van Lommel,VB,2024-02-08,1
Franky Demon,cd&v,2023-12-20,1
Samuel Cogolati,Ecolo-Groen,2024-02-27,1
Ortwin Depoortere,VB,2024-01-19,1
André Flahaut,PS,2024-02-11,1
Valerie Van Peel,N-VA,2023-10-03,1
Wouter De Vriendt,Ecolo-Groen,2023-06-21,1
Tim Vandenput,Open Vld,2023-09-29,1
Katja Gabriëls,Open Vld,2023-11-22,1
wouter raskin,N-VA,2024-01-20,1
Mathieu Bihet,MR,2024-03-31,1
dieter van besien,Ecolo-Groen,2024-03-27,1
Bert Wollants,N-VA,2023-12-05,1
Egbert Lachaert,Open Vld,2024-01-26,1
Denis Ducarme,MR,2024-01-22,1
Laurence Hennuy,Ecolo-Groen,2023-11-08,1
Ortwin Depoortere,VB,2024-02-15,1
Katleen Bury,VB,2024-03-14,1
Ortwin Depoortere,VB,2024-01-25,1
Ortwin Depoortere,VB,2024-01-20,1
Sander Loones,N-VA,2023-06-21,1
Leslie Leoni,PS,2023-07-10,1
Anja Vanrobaeys,Vooruit,2024-02-17,1
Ben Segers,Vooruit,2021-04-05,1
Caroline Taquin,MR,2024-01-23,1
Annick Ponthier,VB,2024-03-28,1
Jean Marie Dedecker,ONAFH,2024-04-13,1
Anja Vanrobaeys,Vooruit,2024-04-21,1
Theo Francken MP,N-VA,2024-01-09,1
Ortwin Depoortere,VB,2024-02-20,1
wouter raskin,N-VA,2023-12-16,1
Patrick Prévot,PS,2024-02-22,1
Darya Safai MP,N-VA,2023-11-05,1
Ben Segers,Vooruit,2023-12-11,1
kathleen depoorter,N-VA,2024-04-01,1
Sophie Wilmès,MR,2024-03-23,1
Greet Daems,PVDA-PTB,2023-12-21,1
wouter raskin,N-VA,2023-12-28,1
Gilles Vanden Burre,Ecolo-Groen,2024-04-06,1
Wim Van der Donckt,N-VA,2024-01-30,1
François De Smet,DéFI,2024-01-28,1
Khalil Aouasti,PS,2023-08-29,1
Egbert Lachaert,Open Vld,2024-02-24,1
Louis Mariage,Ecolo-Groen,2024-02-21,1
Samuel Cogolati,Ecolo-Groen,2024-02-26,1
Samuel Cogolati,Ecolo-Groen,2024-02-25,1
Marijke Dillen,VB,2024-03-09,1
Annick Ponthier,VB,2024-03-06,1
Özlem Özen,PS,2023-04-02,1
Samuel Cogolati,Ecolo-Groen,2024-01-15,1
Sophie Wilmès,MR,2024-04-23,1
Louis Mariage,Ecolo-Groen,2024-05-01,1
Louis Mariage,Ecolo-Groen,2024-03-27,1
Koen Metsu,N-VA,2023-11-21,1
Louis Mariage,Ecolo-Groen,2024-03-18,1
Louis Mariage,Ecolo-Groen,2024-03-14,1
Louis Mariage,Ecolo-Groen,2024-02-02,1
Darya Safai MP,N-VA,2023-11-30,1
Louis Mariage,Ecolo-Groen,2023-12-20,1
Anja Vanrobaeys,Vooruit,2024-02-06,1
Els Van Hoof,cd&v,2023-12-20,1
Meryame Kitir,Vooruit,2022-10-13,1
Patrick Dewael,Open Vld,2022-09-29,1
Sander Loones,N-VA,2024-05-01,1
Ortwin Depoortere,VB,2024-03-23,1
Sarah Schlitz,Ecolo-Groen,2024-02-17,1
Georges Dallemagne,Les Engagés,2024-04-28,1
Reccino Van Lommel,VB,2024-03-26,1
Ortwin Depoortere,VB,2024-02-24,1
Ortwin Depoortere,VB,2024-02-19,1
Anneleen Van Bossuyt,N-VA,2024-03-28,1
Wouter De Vriendt,Ecolo-Groen,2024-02-29,1
Wouter De Vriendt,Ecolo-Groen,2024-02-07,1
Wouter De Vriendt,Ecolo-Groen,2024-02-02,1
Sophie Wilmès,MR,2024-04-25,1
Marco Van Hees,PVDA-PTB,2024-04-03,1
Christian Leysen 🎷,Open Vld,2024-01-17,1
Sophie Wilmès,MR,2023-10-17,1
Maxime PREVOT,Les Engagés,2024-03-28,1
Maxime PREVOT,Les Engagés,2023-09-28,1
Maxime PREVOT,Les Engagés,2023-11-18,1
Maxime PREVOT,Les Engagés,2024-01-01,1
Chanson julie,Ecolo-Groen,2023-03-23,1
Chanson julie,Ecolo-Groen,2023-05-15,1
Melissa Depraetere,Vooruit,2024-02-25,1
Anneleen Van Bossuyt,N-VA,2024-02-08,1
Anneleen Van Bossuyt,N-VA,2023-10-08,1
Sander Loones,N-VA,2024-03-23,1
Anneleen Van Bossuyt,N-VA,2023-12-20,1
Wim Van der Donckt,N-VA,2024-04-19,1
Jean Marie Dedecker,ONAFH,2024-03-19,1
Wim Van der Donckt,N-VA,2024-03-24,1
Gilles Vanden Burre,Ecolo-Groen,2024-01-22,1
Wim Van der Donckt,N-VA,2024-02-01,1
Sophie Rohonyi,DéFI,2023-11-14,1
Wim Van der Donckt,N-VA,2024-01-26,1
Wim Van der Donckt,N-VA,2024-01-13,1
Wim Van der Donckt,N-VA,2024-01-17,1
Robby De Caluwé,Open Vld,2024-01-30,1
Raoul Hedebouw,PVDA-PTB,2024-01-25,1
Reccino Van Lommel,VB,2024-04-04,1
Nabil Boukili,PVDA-PTB,2024-02-29,1
Reccino Van Lommel,VB,2024-03-15,1
Patrick Dewael,Open Vld,2022-12-26,1
Anja Vanrobaeys,Vooruit,2024-02-19,1
Mathieu Bihet,MR,2023-12-22,1
Michel De Maegd,MR,2023-11-30,1
Mélissa Hanus,PS,2023-03-15,1
Mélissa Hanus,PS,2023-06-22,1
Joris De Vriendt,VB,2024-02-14,1
Michael Freilich,N-VA,2024-04-07,1
Annick Ponthier,VB,2024-04-15,1
Tania De Jonge,Open Vld,2023-07-14,1
Eliane Tillieux,PS,2023-11-26,1
Annick Ponthier,VB,2024-03-12,1
Annick Ponthier,VB,2024-03-08,1
Raoul Hedebouw,PVDA-PTB,2024-04-20,1
Reccino Van Lommel,VB,2024-02-13,1
Annick Ponthier,VB,2024-02-15,1
Annick Ponthier,VB,2024-02-17,1
Özlem Özen,PS,2023-04-12,1
Özlem Özen,PS,2023-05-15,1
Özlem Özen,PS,2023-05-23,1
Özlem Özen,PS,2023-09-28,1
Wouter De Vriendt,Ecolo-Groen,2024-03-26,1
Mélissa Hanus,PS,2023-07-05,1
Katja Gabriëls,Open Vld,2023-11-10,1
Katja Gabriëls,Open Vld,2023-11-14,1
wouter raskin,N-VA,2024-05-01,1
wouter raskin,N-VA,2024-04-15,1
Kris Verduyckt,Vooruit,2023-10-30,1
Greet Daems,PVDA-PTB,2024-03-27,1
wouter raskin,N-VA,2024-04-04,1
wouter raskin,N-VA,2024-03-16,1
Theo Francken MP,N-VA,2023-09-14,1
wouter raskin,N-VA,2024-01-30,1
wouter raskin,N-VA,2024-01-28,1
wouter raskin,N-VA,2024-01-25,1
wouter raskin,N-VA,2023-12-13,1
Katja Gabriëls,Open Vld,2024-02-07,1
wouter raskin,N-VA,2022-12-14,1
Patrick Dewael,Open Vld,2022-05-18,1
Patrick Dewael,Open Vld,2022-09-26,1
Patrick Dewael,Open Vld,2022-12-16,1
Nathalie Dewulf,VB,2024-03-27,1
Maria Vindevoghel,PVDA-PTB,2024-03-20,1
Marco Van Hees,PVDA-PTB,2024-04-13,1
Wouter De Vriendt,Ecolo-Groen,2024-01-19,1
Maria Vindevoghel,PVDA-PTB,2023-12-20,1
François De Smet,DéFI,2024-02-12,1
Maria Vindevoghel,PVDA-PTB,2024-01-17,1
Jean-Marc Delizée,PS,2024-05-02,1
Egbert Lachaert,Open Vld,2024-01-25,1
Anja Vanrobaeys,Vooruit,2024-04-10,1
Anja Vanrobaeys,Vooruit,2024-04-02,1
Anja Vanrobaeys,Vooruit,2024-03-31,1
Anja Vanrobaeys,Vooruit,2024-03-30,1
Hendrik Bogaert,cd&v,,1
Anja Vanrobaeys,Vooruit,2024-02-16,1
Anja Vanrobaeys,Vooruit,2024-02-12,1
Anja Vanrobaeys,Vooruit,2024-02-03,1
Anja Vanrobaeys,Vooruit,2024-01-06,1
Pieter De Spiegeleer,VB,2024-04-22,1
dieter van besien,Ecolo-Groen,2024-02-17,1
Kris Verduyckt,Vooruit,2024-03-20,1
Kris Verduyckt,Vooruit,2023-10-31,1
wouter raskin,N-VA,2024-03-07,1
Ben Achour Malik,PS,,1
Kris Verduyckt,Vooruit,2024-01-26,1
Koen Metsu,N-VA,2024-02-14,1
Kris Verduyckt,Vooruit,2023-12-21,1
Kris Verduyckt,Vooruit,2024-01-11,1
Meryame Kitir,Vooruit,,1
Kris Verduyckt,Vooruit,2022-10-12,1
Steven De Vuyst,PVDA-PTB,2024-04-05,1
Wouter De Vriendt,Ecolo-Groen,2024-03-15,1
Darya Safai MP,N-VA,2024-03-28,1
Katja Gabriëls,Open Vld,2024-02-29,1
Katja Gabriëls,Open Vld,2024-01-25,1
Annick Ponthier,VB,2024-03-29,1
Daniel Bacquelaine,MR,2024-04-25,1
Nahima Lanjri,cd&v,2024-04-16,1
Georges Dallemagne,Les Engagés,2024-03-16,1
Kris Verduyckt,Vooruit,2023-11-17,1
Caroline Taquin,MR,2024-03-29,1
Gilles Vanden Burre,Ecolo-Groen,2024-02-19,1
Séverine de Laveleye,Ecolo-Groen,2024-02-22,1
Mathieu Bihet,MR,2024-02-24,1
Vanessa Matz,Les Engagés,2024-01-30,1
Raoul Hedebouw,PVDA-PTB,2024-03-06,1
Simon Moutquin,Ecolo-Groen,2024-01-30,1
Joris De Vriendt,VB,2024-01-24,1
Egbert Lachaert,Open Vld,2024-02-28,1
Robby De Caluwé,Open Vld,2024-04-21,1
Marco Van Hees,PVDA-PTB,2023-03-30,1
Egbert Lachaert,Open Vld,2024-03-06,1
Denis Ducarme,MR,2024-04-16,1
Katja Gabriëls,Open Vld,2024-03-04,1
Florence Reuter,MR,2022-09-08,1
Sophie Rohonyi,DéFI,2024-02-06,1
Michael Freilich,N-VA,2024-04-09,1
Jean-Marc Delizée,PS,2023-11-17,1
Wouter Vermeersch,VB,2024-01-23,1
Wim Van der Donckt,N-VA,2023-12-31,1
Christian Leysen 🎷,Open Vld,2024-01-23,1
Egbert Lachaert,Open Vld,2024-03-15,1
Tomas Roggeman,N-VA,2024-03-27,1
wouter raskin,N-VA,2024-04-29,1
Ben Achour Malik,PS,2024-04-05,1
Franky Demon,cd&v,2024-01-31,1
Vincent Van Quickenborne,Open Vld,,1
Chanelle Bonaventure,PS,2024-03-13,1
Reccino Van Lommel,VB,2024-03-05,1
Koen Geens,cd&v,2024-01-25,1
Patrick Dewael,Open Vld,2022-12-14,1
Anneleen Van Bossuyt,N-VA,2024-04-18,1
Nathalie Muylle,cd&v,2023-11-14,1
Georges Dallemagne,Les Engagés,2024-03-26,1
Kristof Calvo,Ecolo-Groen,2024-04-29,1
Valerie Van Peel,N-VA,2023-12-18,1
Sander Loones,N-VA,2023-05-12,1
Guillaume Defossé,Ecolo-Groen,2024-02-21,1
Steven De Vuyst,PVDA-PTB,2023-12-18,1
Egbert Lachaert,Open Vld,2022-01-17,1
Egbert Lachaert,Open Vld,2024-01-10,1
Steven De Vuyst,PVDA-PTB,2024-04-25,1
Claire Hugon,Ecolo-Groen,2024-04-19,1
Steven De Vuyst,PVDA-PTB,2023-12-10,1
dieter van besien,Ecolo-Groen,2024-01-16,1
Marie Christine Marghem,MR,2024-01-28,1
Goedele Liekens,Open Vld,2023-09-17,1
Egbert Lachaert,Open Vld,2024-03-04,1
Georges Dallemagne,Les Engagés,2024-03-05,1
Sofie Merckx,PVDA-PTB,2023-11-26,1
Jean Marie Dedecker,ONAFH,2024-01-26,1
Vicky Reynaert,Vooruit,2023-12-15,1
Ben Achour Malik,PS,2024-01-21,1
Eliane Tillieux,PS,2023-10-25,1
Vicky Reynaert,Vooruit,2024-04-23,1
Maggie De Block,Open Vld,2024-04-19,1
Frank Troosters,VB,2024-01-29,1
Egbert Lachaert,Open Vld,2022-10-31,1
Catherine Fonck,Les Engagés,2024-01-16,1
Nathalie Muylle,cd&v,2024-03-11,1
Wim Van der Donckt,N-VA,2024-03-21,1
Simon Moutquin,Ecolo-Groen,2024-02-19,1
Patrick Prévot,PS,2024-03-27,1
Anja Vanrobaeys,Vooruit,2024-01-21,1
Vicky Reynaert,Vooruit,2023-12-13,1
Jan Briers,cd&v,2024-04-04,1
Denis Ducarme,MR,2024-03-05,1
Anneleen Van Bossuyt,N-VA,2024-03-15,1
Hugues Bayet,PS,2022-03-19,1
Frank Troosters,VB,2024-03-10,1
Mathieu Bihet,MR,2024-05-01,1
Ben Achour Malik,PS,2021-03-23,1
Pieter De Spiegeleer,VB,2024-03-01,1
Steven Creyelman,VB,2024-02-05,1
Sander Loones,N-VA,2023-07-22,1
Mathieu Bihet,MR,2024-02-17,1
Annick Ponthier,VB,2024-01-26,1
Philippe TISON,PS,2022-05-01,1
Tania De Jonge,Open Vld,2024-01-31,1
Eliane Tillieux,PS,2023-12-08,1
Marco Van Hees,PVDA-PTB,2024-02-10,1
Melissa Depraetere,Vooruit,2023-12-15,1
Marco Van Hees,PVDA-PTB,2024-03-16,1
Florence Reuter,MR,2022-11-26,1
Nathalie Muylle,cd&v,2024-01-24,1
Georges Dallemagne,Les Engagés,2024-02-17,1
Tim Vandenput,Open Vld,2023-10-16,1
Marie Christine Marghem,MR,2023-12-31,1
Ben Segers,Vooruit,2023-07-25,1
Tim Vandenput,Open Vld,2023-09-14,1
Anneleen Van Bossuyt,N-VA,2024-01-30,1
Gitta Vanpeborgh,Vooruit,2023-12-10,1
Tim Vandenput,Open Vld,2023-07-22,1
Nadia Moscufo,PVDA-PTB,2023-12-05,1
Katja Gabriëls,Open Vld,2023-11-26,1
Reccino Van Lommel,VB,2024-02-07,1
Claire Hugon,Ecolo-Groen,2024-01-11,1
Frieda Gijbels,N-VA,2024-01-03,1
Marianne Verhaert,Open Vld,2024-03-17,1
Peter Buysrogge ✌,N-VA,2023-06-21,1
Barbara Pas,VB,2024-04-06,1
Gilles Vanden Burre,Ecolo-Groen,2024-04-13,1
Vicky Reynaert,Vooruit,2023-11-27,1
Christian Leysen 🎷,Open Vld,2024-04-06,1
François De Smet,DéFI,2024-03-03,1
Nabil Boukili,PVDA-PTB,2023-11-23,1
Darya Safai MP,N-VA,2018-01-04,1
Yngvild Ingels,N-VA,2024-01-02,1
Florence Reuter,MR,2024-03-13,1
wouter raskin,N-VA,2024-04-06,1
Laurence Zanchetta,PS,2022-09-11,1
Michael Freilich,N-VA,2024-03-04,1
Florence Reuter,MR,2023-07-03,1
Simon Moutquin,Ecolo-Groen,2024-02-27,1
Peter Buysrogge ✌,N-VA,2024-02-16,1
Reccino Van Lommel,VB,2024-01-07,1
Kristien Van Vaerenbergh🎗️,N-VA,2024-01-22,1
Hans Verreyt,VB,2024-02-29,1
Florence Reuter,MR,2023-05-27,1
Mieke Claes,N-VA,2023-05-11,1
Darya Safai MP,N-VA,2024-04-03,1
Katja Gabriëls,Open Vld,2024-01-31,1
Darya Safai MP,N-VA,2024-01-22,1
Özlem Özen,PS,2023-08-26,1
Simon Moutquin,Ecolo-Groen,2024-04-07,1
Catherine Fonck,Les Engagés,2024-04-30,1
Philippe TISON,PS,2021-12-14,1
François De Smet,DéFI,2024-03-23,1
Bert Wollants,N-VA,2024-02-26,1
Raoul Hedebouw,PVDA-PTB,2024-01-18,1
Anja Vanrobaeys,Vooruit,2024-01-28,1
Özlem Özen,PS,2023-07-10,1
Daniel Bacquelaine,MR,2024-04-08,1
Peter Buysrogge ✌,N-VA,2023-11-07,1
Theo Francken MP,N-VA,2023-09-13,1
Egbert Lachaert,Open Vld,2024-01-08,1
Sarah Schlitz,Ecolo-Groen,2024-01-30,1
Vanessa Matz,Les Engagés,2024-01-09,1
Robby De Caluwé,Open Vld,2024-03-11,1
Thémont Sophie,PS,2024-03-14,1
Reccino Van Lommel,VB,2024-03-24,1
Sander Loones,N-VA,2024-03-17,1
Jef Van den Bergh ☀️,cd&v,2023-12-04,1
Denis Ducarme,MR,2024-05-01,1
Frieda Gijbels,N-VA,2024-03-26,1
Barbara Pas,VB,2024-03-29,1
Reccino Van Lommel,VB,2024-02-09,1
Anja Vanrobaeys,Vooruit,2024-02-24,1
Peter Buysrogge ✌,N-VA,2024-03-04,1
Anja Vanrobaeys,Vooruit,2024-02-25,1
Eva Platteau,Ecolo-Groen,2024-03-29,1
Ortwin Depoortere,VB,2024-02-29,1
Daniel Bacquelaine,MR,2024-04-26,1
Nathalie Muylle,cd&v,2024-04-04,1
Ahmed Laaouej,PS,2024-04-05,1
Wouter Beke,cd&v,2019-03-12,1
Michael Freilich,N-VA,2024-02-12,1
Florence Reuter,MR,2023-07-20,1
Anja Vanrobaeys,Vooruit,2024-04-12,1
Marianne Verhaert,Open Vld,2024-04-03,1
Els Van Hoof,cd&v,2024-04-27,1
Eva Platteau,Ecolo-Groen,2024-03-24,1
Peter De Roover,N-VA,2024-04-30,1
Annick Ponthier,VB,2024-02-27,1
Melissa Depraetere,Vooruit,2023-07-13,1
Wouter De Vriendt,Ecolo-Groen,2024-03-16,1
Els Van Hoof,cd&v,2024-03-14,1
Eva Platteau,Ecolo-Groen,2024-03-21,1
𝙱𝚓𝚘̈𝚛𝚗 𝙰𝚗𝚜𝚎𝚎𝚞𝚠,N-VA,2023-07-22,1
Eva Platteau,Ecolo-Groen,2024-03-22,1
François De Smet,DéFI,2024-02-24,1
Jef Van den Bergh ☀️,cd&v,2024-02-28,1
Yngvild Ingels,N-VA,2023-08-25,1
Eva Platteau,Ecolo-Groen,2024-02-19,1
Catherine Fonck,Les Engagés,2024-03-05,1
Goedele Liekens,Open Vld,2024-03-24,1
Eva Platteau,Ecolo-Groen,2024-04-22,1
wouter raskin,N-VA,2024-02-23,1
Samuel Cogolati,Ecolo-Groen,2024-04-27,1
Darya Safai MP,N-VA,2023-12-18,1
Kristof Calvo,Ecolo-Groen,2024-01-15,1
Egbert Lachaert,Open Vld,2024-03-26,1
Eva Platteau,Ecolo-Groen,2024-04-30,1
Michel De Maegd,MR,2024-05-01,1
Ben Achour Malik,PS,2024-02-17,1
Vincent Van Quickenborne,Open Vld,2023-11-26,1
Nahima Lanjri,cd&v,2023-12-08,1
Nathalie Muylle,cd&v,2023-10-19,1
Servais Verherstraeten,cd&v,2023-12-13,1
Jan Briers,cd&v,2024-03-18,1
Frieda Gijbels,N-VA,2023-09-19,1
Ben Segers,Vooruit,2021-08-19,1
André Flahaut,PS,2024-02-02,1
Kristien Van Vaerenbergh🎗️,N-VA,2023-12-18,1
Pieter De Spiegeleer,VB,2024-01-11,1
Chanson julie,Ecolo-Groen,2024-04-13,1
kathleen depoorter,N-VA,2024-04-19,1
Khalil Aouasti,PS,2024-01-29,1
Kris Verduyckt,Vooruit,2023-11-14,1
Ben Segers,Vooruit,2023-06-05,1
Maxime PREVOT,Les Engagés,2023-10-03,1
Kristien Van Vaerenbergh🎗️,N-VA,2023-12-08,1
Patrick Dewael,Open Vld,2022-12-13,1
Wouter Beke,cd&v,2024-04-07,1
Daniel Bacquelaine,MR,2024-03-14,1
Goedele Liekens,Open Vld,2024-02-21,1
Özlem Özen,PS,2023-04-10,1
Tania De Jonge,Open Vld,2023-10-20,1
André Flahaut,PS,2024-01-24,1
Ben Segers,Vooruit,2024-04-05,1
Kris Verduyckt,Vooruit,2023-09-26,1
Maxime PREVOT,Les Engagés,2023-10-11,1
Anneleen Van Bossuyt,N-VA,2024-02-21,1
Marianne Verhaert,Open Vld,2023-09-30,1
Claire Hugon,Ecolo-Groen,2023-04-19,1
Kristof Calvo,Ecolo-Groen,2024-01-29,1
Hendrik Bogaert,cd&v,2023-12-25,1
Marco Van Hees,PVDA-PTB,2024-03-20,1
Eliane Tillieux,PS,2023-12-07,1
Servais Verherstraeten,cd&v,2024-03-03,1
Michael Freilich,N-VA,2024-02-13,1
Jef Van den Bergh ☀️,cd&v,2024-02-02,1
Guillaume Defossé,Ecolo-Groen,2024-01-27,1
Sophie Wilmès,MR,2024-02-16,1
Daniel Bacquelaine,MR,2023-11-23,1
Sofie Merckx,PVDA-PTB,2024-02-11,1
Philippe TISON,PS,2022-02-26,1
Séverine de Laveleye,Ecolo-Groen,2022-07-13,1
Ben Segers,Vooruit,2022-03-26,1
Ahmed Laaouej,PS,2024-01-30,1
Cécile Cornet,Ecolo-Groen,2023-05-16,1
Marie Christine Marghem,MR,2024-02-02,1
Theo Francken MP,N-VA,2023-02-22,1
Raoul Hedebouw,PVDA-PTB,2024-01-28,1
Eliane Tillieux,PS,2024-01-24,1
Ben Segers,Vooruit,2024-03-19,1
Darya Safai MP,N-VA,2024-01-16,1
wouter raskin,N-VA,2024-04-20,1
Ben Segers,Vooruit,2022-03-03,1
Nahima Lanjri,cd&v,2024-01-10,1
Marie Christine Marghem,MR,2024-04-25,1
Pieter De Spiegeleer,VB,2024-04-19,1
Nahima Lanjri,cd&v,2024-01-25,1
Leslie Leoni,PS,2023-11-24,1
Piedboeuf Benoît,MR,2024-03-06,1
dieter van besien,Ecolo-Groen,2024-02-07,1
Jan Briers,cd&v,2023-11-16,1
Michael Freilich,N-VA,2024-02-14,1
Valerie Van Peel,N-VA,2024-03-27,1
Ahmed Laaouej,PS,2024-02-13,1
Emir KIR,ONAFH,2023-12-19,1
Catherine Fonck,Les Engagés,2024-02-01,1
Gitta Vanpeborgh,Vooruit,2023-12-11,1
Marco Van Hees,PVDA-PTB,2023-12-20,1
Koen Metsu,N-VA,,1
Tomas Roggeman,N-VA,2024-04-10,1
Vincent Scourneau,MR,2019-11-15,1
Jean Marie Dedecker,ONAFH,2024-02-14,1
Ben Achour Malik,PS,2024-03-21,1
Thémont Sophie,PS,2024-03-19,1
Josy Arens,Les Engagés,2020-01-17,1
Koen Metsu,N-VA,2024-01-23,1
Christian Leysen 🎷,Open Vld,2024-01-22,1
Nadia Moscufo,PVDA-PTB,2024-01-23,1
Eliane Tillieux,PS,2024-04-29,1
Wouter Vermeersch,VB,2024-04-15,1
Ahmed Laaouej,PS,2024-02-08,1
Theo Francken MP,N-VA,2024-01-18,1
Gitta Vanpeborgh,Vooruit,2024-03-07,1
Eva Platteau,Ecolo-Groen,2024-02-02,1
Guillaume Defossé,Ecolo-Groen,2024-01-10,1
Kristof Calvo,Ecolo-Groen,2024-04-28,1
Raoul Hedebouw,PVDA-PTB,2023-10-10,1
Hugues Bayet,PS,2023-06-13,1
Ben Segers,Vooruit,2023-12-13,1
Louis Mariage,Ecolo-Groen,2024-02-26,1
Darya Safai MP,N-VA,2024-01-02,1
François De Smet,DéFI,2024-02-02,1
Joris Vandenbroucke,Vooruit,2024-01-23,1
Samuel Cogolati,Ecolo-Groen,2024-03-15,1
Séverine de Laveleye,Ecolo-Groen,2024-04-18,1
Peter De Roover,N-VA,2024-02-15,1
Tomas Roggeman,N-VA,2024-03-18,1
Georges Dallemagne,Les Engagés,2024-01-25,1
Robby De Caluwé,Open Vld,2024-03-24,1
Joris De Vriendt,VB,2024-02-05,1
Samuel Cogolati,Ecolo-Groen,2023-12-20,1
Mathieu Bihet,MR,2024-05-02,1
Hendrik Bogaert,cd&v,2021-12-08,1
Vincent Van Quickenborne,Open Vld,2023-12-19,1
Peter Buysrogge ✌,N-VA,2024-03-19,1
Sigrid Goethals,N-VA,2024-02-13,1
Simon Moutquin,Ecolo-Groen,2024-04-30,1
Jean Marie Dedecker,ONAFH,2024-01-24,1
Sarah Schlitz,Ecolo-Groen,2024-04-22,1
Olivier Vajda,Ecolo-Groen,2024-01-11,1
Theo Francken MP,N-VA,2023-04-30,1
Laurence Zanchetta,PS,2023-06-15,1
Séverine de Laveleye,Ecolo-Groen,2024-01-27,1
wouter raskin,N-VA,2024-01-15,1
Valerie Van Peel,N-VA,2023-11-25,1
kathleen depoorter,N-VA,2024-02-07,1
Raoul Hedebouw,PVDA-PTB,2024-01-05,1
Nathalie Muylle,cd&v,2024-01-10,1
Erik Gilissen,VB,2024-03-20,1
Denis Ducarme,MR,2024-02-07,1
Sigrid Goethals,N-VA,2023-12-28,1
Chanelle Bonaventure,PS,2024-03-01,1
Claire Hugon,Ecolo-Groen,2024-01-31,1
Robby De Caluwé,Open Vld,2024-04-17,1
Hans Verreyt,VB,2024-03-25,1
Claire Hugon,Ecolo-Groen,2024-04-22,1
Vincent Scourneau,MR,2020-01-15,1
Steven De Vuyst,PVDA-PTB,2024-03-25,1
Vicky Reynaert,Vooruit,2024-03-27,1
Koen Metsu,N-VA,2023-11-23,1
François De Smet,DéFI,2024-02-10,1
Anneleen Van Bossuyt,N-VA,2024-04-28,1
Catherine Fonck,Les Engagés,2024-02-27,1
Egbert Lachaert,Open Vld,2024-04-30,1
Egbert Lachaert,Open Vld,2024-01-11,1
Roberto D'Amico,PVDA-PTB,2024-03-19,1
Ahmed Laaouej,PS,2024-04-15,1
Tania De Jonge,Open Vld,2024-02-23,1
Mathieu Bihet,MR,2024-02-29,1
François De Smet,DéFI,2024-01-29,1
NawalFarih,cd&v,2024-01-18,1
Mieke Claes,N-VA,2023-03-04,1
Sophie De Wit,N-VA,2024-01-14,1
Nahima Lanjri,cd&v,2023-12-28,1
Piedboeuf Benoît,MR,2024-02-08,1
Samuel Cogolati,Ecolo-Groen,2024-02-24,1
Erik Gilissen,VB,2023-10-07,1
Melissa Depraetere,Vooruit,2024-04-07,1
Peter Buysrogge ✌,N-VA,2023-07-05,1
Philippe Goffin,MR,2021-04-28,1
Laurence Zanchetta,PS,2023-07-10,1
Reccino Van Lommel,VB,2024-03-08,1
